"Variables","number_of_missing_values","proportion_missing","percent_missing"
"Peduncle.length.of.first.flower",230,1,100
"Seed.area",61,0.265217391304348,26.5217391304348
"Seed.circular",61,0.265217391304348,26.5217391304348
"Seed.curved.height",61,0.265217391304348,26.5217391304348
"Seed.curved.shape.index",61,0.265217391304348,26.5217391304348
"Seed.distal.eccentricity",61,0.265217391304348,26.5217391304348
"Seed.eccentricity",61,0.265217391304348,26.5217391304348
"Seed.eccentricity.area.index",61,0.265217391304348,26.5217391304348
"Seed.ellipsoid",61,0.265217391304348,26.5217391304348
"Seed.height.mid.width",61,0.265217391304348,26.5217391304348
"Seed.HW.ratio",61,0.265217391304348,26.5217391304348
"Seed.maximum.height",61,0.265217391304348,26.5217391304348
"Seed.maximum.width",61,0.265217391304348,26.5217391304348
"Seed.ovoid",61,0.265217391304348,26.5217391304348
"Seed.perimeter",61,0.265217391304348,26.5217391304348
"Seed.proximal.eccentricity",61,0.265217391304348,26.5217391304348
"Seed.rectangular",61,0.265217391304348,26.5217391304348
"Seed.shape.index.external.I",61,0.265217391304348,26.5217391304348
"Seed.shape.index.external.II",61,0.265217391304348,26.5217391304348
"Seed.shape.index.internal",61,0.265217391304348,26.5217391304348
"Seed.width.mid.height",61,0.265217391304348,26.5217391304348
"Seed.width.widest.pos",61,0.265217391304348,26.5217391304348
"Stem.diameter.final.after.5th.node",10,0.0434782608695652,4.34782608695652
"Stem.diameter.final.before.1st.node",8,0.0347826086956522,3.47826086956522
"Primary.branches",5,0.0217391304347826,2.17391304347826
"Ligule.length",4,0.0173913043478261,1.73913043478261
"Ligule.width",4,0.0173913043478261,1.73913043478261
"Phyllaries.length",4,0.0173913043478261,1.73913043478261
"Phyllaries.LW.ratio",4,0.0173913043478261,1.73913043478261
"Phyllaries.width",4,0.0173913043478261,1.73913043478261
"Disk.to.phyllaries.diameter.ratio",3,0.0130434782608696,1.30434782608696
"Flowerhead.to.phyllaries.diameter.ratio",3,0.0130434782608696,1.30434782608696
"Phyllaries.diameter",3,0.0130434782608696,1.30434782608696
"RGB.proportion.blue",3,0.0130434782608696,1.30434782608696
"RGB.proportion.green",3,0.0130434782608696,1.30434782608696
"RGB.proportion.red",3,0.0130434782608696,1.30434782608696
"Total.RGB",3,0.0130434782608696,1.30434782608696
"Trichomes.density.center.average",3,0.0130434782608696,1.30434782608696
"Trichomes.density.edge.average",3,0.0130434782608696,1.30434782608696
"Trichomes.density.leaf.center.flat.area",3,0.0130434782608696,1.30434782608696
"Trichomes.density.leaf.center.secondary.veins",3,0.0130434782608696,1.30434782608696
"Trichomes.density.leaf.edge.flat.area",3,0.0130434782608696,1.30434782608696
"Trichomes.density.leaf.edge.secondary.veins",3,0.0130434782608696,1.30434782608696
"Trichomes.density.nonvein.average",3,0.0130434782608696,1.30434782608696
"Trichomes.density.vein.average",3,0.0130434782608696,1.30434782608696
"Disk.diameter",2,0.00869565217391304,0.869565217391304
"Distance.of.first.branching.from.ground",2,0.00869565217391304,0.869565217391304
"Flower.FHDD.ratio",2,0.00869565217391304,0.869565217391304
"Flower.head.diameter",2,0.00869565217391304,0.869565217391304
"Internode.length",2,0.00869565217391304,0.869565217391304
"Ligule.LW.ratio",2,0.00869565217391304,0.869565217391304
"Trichomes.length",2,0.00869565217391304,0.869565217391304
"Darker.axillae",1,0.00434782608695652,0.434782608695652
"LIR",1,0.00434782608695652,0.434782608695652
"Plant.height.at.flowering",1,0.00434782608695652,0.434782608695652
"SLA",1,0.00434782608695652,0.434782608695652
"Stem.diameter.at.flowering",1,0.00434782608695652,0.434782608695652
"TLN",1,0.00434782608695652,0.434782608695652
