"population_id","species","longitude","sitename","latitude","ecotype"
"ANN_05","Helianthus annuus",-116.18411,"California",33.69278,"north american desert"
"ANN_09","Helianthus annuus",-118.40646,"California",37.43321,"north american desert"
"ANN_10","Helianthus annuus",-118.27904,"California",37.17346,"north american desert"
"ANN_11","Helianthus annuus",-114.06666,"Arizona",35.19566,"north american desert"
"ANN_14","Helianthus annuus",-111.24184,"Arizona",36.1086,"north american desert"
"ANN_15","Helianthus annuus",-110.7351,"Arizona",35.03852,"north american desert"
"ANN_16","Helianthus annuus",-108.23557,"New Mexico",35.40041,"north american desert"
"ANN_18","Helianthus annuus",-104.28873,"New Mexico",36.07308,"the great plains"
"ANN_19","Helianthus annuus",-104.01913,"New Mexico",36.7268,"the great plains"
"ANN_20","Helianthus annuus",-107.62928,"Colorado",38.44366,"north american desert"
"ANN_21","Helianthus annuus",-108.3738,"Colorado",38.91004,"north american desert"
"ANN_22","Helianthus annuus",-108.46384,"Colorado",39.00672,"north american desert"
"ANN_23","Helianthus annuus",-116.23876,"Nevada",40.66257,"north american desert"
"ANN_25","Helianthus annuus",-114.09841,"Nevada",36.79654,"north american desert"
"ANN_26","Helianthus annuus",-113.51348,"Utah",37.13733,"north american desert"
"ANN_27","Helianthus annuus",-112.56561,"Utah",37.13137,"north american desert"
"ANN_28","Helianthus annuus",-112.64767,"Utah",38.21652,"north american desert"
"ANN_29","Helianthus annuus",-112.35661,"Utah",39.55006,"north american desert"
"ANN_30","Helianthus annuus",-112.20662,"Utah",39.7148,"north american desert"
"ANN_31","Helianthus annuus",-111.65071,"Utah",40.1781,"north american desert"
"ANN_32","Helianthus annuus",-112.0556,"Utah",41.48524,"north american desert"
"ANN_33","Helianthus annuus",-112.15004,"Utah",40.77115,"north american desert"
"ANN_34","Helianthus annuus",-112.26423,"Utah",40.69149,"north american desert"
"ANN_35","Helianthus annuus",-109.51947,"Utah",40.51274,"north american desert"
"ANN_36","Helianthus annuus",-107.45885,"Wyoming",41.77426,"north american desert"
"ANN_37","Helianthus annuus",-105.09619,"Colorado",40.48679,"the great plains"
"ANN_38","Helianthus annuus",-98.63231,"Kansas",38.44118,"the great plains"
"ANN_39","Helianthus annuus",-97.9179,"Kansas",37.45911,"the great plains"
"ANN_40","Helianthus annuus",-98.66459,"Kansas",37.23327,"the great plains"
"ANN_41","Helianthus annuus",-98.22242,"Oklahoma",36.80874,"the great plains"
"ANN_42","Helianthus annuus",-97.36547,"Texas",32.92224,"the great plains"
"ANN_44","Helianthus annuus",-99.01808,"Texas",29.05186,"the great plains"
"ANN_45","Helianthus annuus",-100.1189,"Texas",28.63085,"the great plains"
"ANN_47","Helianthus annuus",-111.53769,"Arizona",32.73158,"north american desert"
"ANN_50","Helianthus annuus",-108.38541,"New Mexico",32.17943,"north american desert"
"ANN_51","Helianthus annuus",-106.67373,"New Mexico",32.12876,"north american desert"
"ANN_52","Helianthus annuus",-104.02012,"Texas",31.13312,"north american desert"
"ANN_53","Helianthus annuus",-103.13683,"Texas",31.03955,"north american desert"
"ANN_54","Helianthus annuus",-97.39837,"Texas",29.11355,"the great plains"
"ANN_55","Helianthus annuus",-96.58348,"Texas",28.66061,"the great plains"
"ANN_56","Helianthus annuus",-97.06011,"Texas",28.08852,"the great plains"
"ANN_57","Helianthus annuus",-97.24526,"Texas",27.63854,"the great plains"
"ANN_58","Helianthus annuus",-97.67443,"Texas",28.24166,"the great plains"
"ANN_59","Helianthus annuus",-97.77181,"Texas",26.50251,"the great plains"
"ANN_60","Helianthus annuus",-97.66729,"Texas",27.28522,"the great plains"
"ANN_61","Helianthus annuus",-97.66801,"Texas",27.77652,"the great plains"
"ANN_62","Helianthus annuus",-96.05867,"Iowa",42.24842,"the great plains"
"ANN_63","Helianthus annuus",-95.82286,"Iowa",41.04647,"the great plains"
"ANN_64","Helianthus annuus",-99.06605,"Kansas",39.68894,"the great plains"
"ANN_65","Helianthus annuus",-99.9072,"Kansas",39.82806,"the great plains"
"ANN_66","Helianthus annuus",-100.40875,"Manitoba",49.29649,"the great plains"
"ANN_67","Helianthus annuus",-94.86874,"Missouri",40.07698,"the great plains"
"ANN_68","Helianthus annuus",-101.04321,"North Dakota",47.24255,"the great plains"
"ANN_69","Helianthus annuus",-100.0715,"South Dakota",44.50105,"the great plains"
"ANN_70","Helianthus annuus",-96.78587,"South Dakota",42.8228,"the great plains"
"ANN_71","Helianthus annuus",-102.9884,"Saskatchewan",49.23184,"the great plains"
