"individual_id","ecotype"
"ANN0976","the great plains"
"ANN0977","the great plains"
"ANN0978","the great plains"
"ANN0980","the great plains"
"ANN0983","the great plains"
"ANN0989","the great plains"
"ANN1161","the great plains"
"ANN1166","the great plains"
"ANN1168","the great plains"
"ANN1169","the great plains"
"ANN1183","the great plains"
"ANN1186","the great plains"
"ANN1187","the great plains"
"ANN1188","the great plains"
"ANN1192","the great plains"
"ANN1194","the great plains"
"ANN1198","the great plains"
"ANN1201","the great plains"
"ANN1208","the great plains"
"ANN1210","the great plains"
"ANN1213","the great plains"
"ANN1215","the great plains"
"ANN1217","the great plains"
"ANN1218","the great plains"
"ANN1219","the great plains"
"ANN1220","the great plains"
"ANN1232","the great plains"
"ANN1233","the great plains"
"ANN1240","the great plains"
"ANN1241","the great plains"
"ANN1245","the great plains"
"ANN1247","the great plains"
"ANN1249","the great plains"
"ANN1353","the great plains"
"ANN1355","the great plains"
"ANN1356","the great plains"
"ANN1361","the great plains"
"ANN1362","the great plains"
"ANN1364","the great plains"
"ANN1365","the great plains"
"ANN1367","the great plains"
"ANN1369","the great plains"
"ANN1372","the great plains"
"ANN1374","the great plains"
"ANN1375","the great plains"
"ANN1381","the great plains"
"ANN1382","the great plains"
"ANN1384","the great plains"
"ANN1385","the great plains"
"ANN1386","the great plains"
"ANN1388","the great plains"
"ANN1389","the great plains"
"ANN1390","the great plains"
"ANN1392","the great plains"
"ANN1397","the great plains"
"ANN1398","the great plains"
"ANN1419","the great plains"
"ANN1420","the great plains"
"ANN1501","the great plains"
