"population_id","sitename","longitude","latitude","Ecoregions","individual_id","genotype_id","DTF","Darker.axillae","Days.to.budding","Disk.diameter","Disk.to.phyllaries.diameter.ratio","Distance.of.first.branching.from.ground","Flower.FHDD.ratio","Flower.head.diameter","Flowerhead.to.phyllaries.diameter.ratio","Internode.length","LIR","Leaf.C.N.ratio","Leaf.area","Leaf.circular","Leaf.curved.height","Leaf.curved.shape.index","Leaf.curvedHeight.maxWidth","Leaf.distal.eccentricity","Leaf.eccentricity","Leaf.eccentricity.area.index","Leaf.ellipsoid","Leaf.height.mid.width","Leaf.maximum.height","Leaf.maximum.width","Leaf.obovoid","Leaf.perimeter","Leaf.proximal.eccentricity","Leaf.rectangular","Leaf.shape.index.external.I","Leaf.shape.index.external.II","Leaf.shape.index.internal","Leaf.total.C","Leaf.total.N","Leaf.width.mid.height","Leaf.width.widest.pos","Ligule.LW.ratio","Ligule.length","Ligule.width","Ligules.number","Petiole.main.veins.colour","Phyllaries.LW.ratio","Phyllaries.diameter","Phyllaries.length","Phyllaries.width","Plant.height.at.flowering","Primary.branches","RGB.proportion.blue","RGB.proportion.green","RGB.proportion.red","SLA","Seed.HW.ratio","Seed.area","Seed.circular","Seed.curved.height","Seed.curved.shape.index","Seed.distal.eccentricity","Seed.eccentricity","Seed.eccentricity.area.index","Seed.ellipsoid","Seed.height.mid.width","Seed.maximum.height","Seed.maximum.width","Seed.ovoid","Seed.perimeter","Seed.proximal.eccentricity","Seed.rectangular","Seed.shape.index.external.I","Seed.shape.index.external.II","Seed.shape.index.internal","Seed.width.mid.height","Seed.width.widest.pos","Stem.colour","Stem.diameter.at.flowering","Stem.diameter.final.after.5th.node","Stem.diameter.final.before.1st.node","TLN","Total.RGB","Trichomes.density.center.average","Trichomes.density.edge.average","Trichomes.density.leaf.center.flat.area","Trichomes.density.leaf.center.secondary.veins","Trichomes.density.leaf.edge.flat.area","Trichomes.density.leaf.edge.secondary.veins","Trichomes.density.nonvein.average","Trichomes.density.vein.average","Trichomes.length"
"ANN_05","California",-116.18411,33.69278,"NORTH AMERICAN DESERTS","ANN0841","ANN0841",50,0,24,4.50305867,0.572504371,6,3.821885523,17.20184726,2.187481298,7.04,0.833333333,6.998826283,14367.1971,0.1126,177.0192,1.3766,1.257989141,0.8744,0.5886,0.4663,0.1038,133.858,156.464,140.716,0.3128,621.6521,0.7653,0.3979,1.1119,1.0711,0.866,43.121,6.161,124.968,0.602,2.960153762,6.44356456,2.180894805,20.66666667,2,2.464691643,7.855572213,2.585932634,1.05348668,140.8,19,0.222260961,0.464080567,0.313658472,21.12823103,2.028629212,11.085925,0.2166625,5.46675,2.1194375,0.8542,0.754575,0.4055875,0.058875,5.303575,5.349875,2.6948,0.2474875,14.215375,0.8752875,0.4873375,2.007525,2.069075,1.9490375,2.59425,0.371075,2,32.3,40,45,20,174.961,39,31.5,31,47,47,16,39,31.5,3.379346939
"ANN_05","California",-116.18411,33.69278,"NORTH AMERICAN DESERTS","ANN0842","ANN0842",51,0,31,5.29609968,0.531086019,0,2.929479624,15.51351743,1.554295545,6.757142857,0.677419355,6.540537228,12361.9753,0.162,185.5734,1.6715,1.634460709,0.8893,0.7367,0.3672,0.1029,158.496,171.958,113.538,0.4246,561.0837,0.8893,0.3763,1.5145,1.6041,1.6065,43.266,6.615,98.806,0.6544,2.116117935,5.379743732,2.562461103,19.66666667,1,2.613938466,9.996696118,4.08446957,1.568473345,141.9,21,0.195148624,0.481768873,0.323082503,23.18884881,1.614842121,10.2755,0.1481375,4.7255125,1.6977,0.8713375,0.7772,0.3970875,0.0559625,4.51115,4.5654,2.9263,0.308,12.9662375,0.8898875,0.4866625,1.5681625,1.6313375,1.59965,2.7847375,0.3384125,0,34.4,39,55,21,181.969,38.5,42.5,38,39,37,48,37.5,43.5,3.286285714
"ANN_05","California",-116.18411,33.69278,"NORTH AMERICAN DESERTS","ANN0843","ANN0843",53,0,27,3.777203214,0.564411725,8,3.900916565,14.72073484,2.163810746,5.990909091,0.814814815,6.766674084,7805.4683,0.1666,147.0977,1.3531,1.678622618,0.8756,0.7392,0.422,0.0922,125.73,135.636,87.63,0.4679,420.1717,0.8756,0.4055,1.5478,1.743,1.7434,42.931,6.345,72.136,0.7097,3.024075284,5.695637694,1.908683668,22.33333333,0,2.002602718,6.850751457,2.339879293,1.171205946,131.8,19,0.20722308,0.472970903,0.319806017,26.03558472,1.881586078,8.66175,0.1890875,4.687125,1.91655,0.8499875,0.7584125,0.404175,0.054075,4.529675,4.5455625,2.49105,0.2746625,12.3643875,0.88205,0.4871125,1.8295625,1.8983,1.8074875,2.3944875,0.3658,0,32.3,43,52,22,169.706,65.5,60.5,76,55,96,25,86,40,2.912179592
"ANN_05","California",-116.18411,33.69278,"NORTH AMERICAN DESERTS","ANN0844","ANN0844",53,0,28,3.870021444,0.57012627,6,3.512353911,13.56627201,1.992555054,6.404545455,0.785714286,6.507481147,9365.9168,0.1403,158.5237,1.8302,1.629527559,0.8527,0.6424,0.4248,0.0623,135.382,153.67,97.282,0.1929,454.2488,0.7886,0.3605,1.5796,1.5816,1.4161,42.07,6.465,85.598,0.6159,3.218159026,5.051176466,1.575823003,20,0,2.436112636,6.849785848,2.926282895,1.202631731,140.9,20,0.184547333,0.494011578,0.321441089,29.16822423,1.907880229,9.6824625,0.198775,4.97475,1.995925,0.83045,0.7297125,0.42535,0.0564375,4.81675,4.8617125,2.607475,0.2697875,13.3067875,0.8688375,0.4853875,1.86805,1.9512125,1.770975,2.4738625,0.35485,0,30.3,37,62,22,165.486,51,57,58,44,92,22,75,33,3.144514286
"ANN_05","California",-116.18411,33.69278,"NORTH AMERICAN DESERTS","ANN0845","ANN0845",46,1,22,3.882236732,0.518537806,2.5,3.731375368,14.43211769,1.92757661,7.527777778,0.818181818,6.993939897,9678.6903,0.1899,169.2535,2.0054,1.776939633,0.8629,0.7588,0.3872,0.0902,153.924,158.242,95.25,0.4645,474.6242,0.8922,0.3879,1.6613,1.9739,1.9032,43.686,6.246,77.978,0.7105,2.570593054,5.417406425,2.107513024,17.33333333,3,2.773979163,7.487229072,2.782264601,1.004491417,135.5,16,0.214840134,0.470488993,0.314670874,21.70596614,1.946069114,10.862075,0.2115875,5.3111875,2.0331625,0.8393375,0.747625,0.4180375,0.0626,5.1620125,5.2189125,2.7291875,0.300325,13.9901,0.883675,0.4670625,1.918925,1.999725,1.8919125,2.5902625,0.3546125,1,28.1,31,37,18,182.559,95,63.5,116,74,76,51,96,62.5,2.884383673
"ANN_05","California",-116.18411,33.69278,"NORTH AMERICAN DESERTS","ANN0846","ANN0846",46,0,22,4.119082464,0.481935288,6,3.487545044,14.3766437,1.684221422,6.8,0.818181818,6.698009062,10913.462,0.1595,183.4569,1.8638,1.748840823,0.8857,0.7949,0.2999,0.0909,158.242,158.75,104.902,0.3984,539.2952,0.8889,0.4114,1.5133,1.6266,1.6316,42.854,6.398,97.282,0.6176,3.170619938,5.421280132,1.714991278,21,1,2.657328334,8.562018242,3.410427755,1.286308378,122.4,17,0.218781312,0.465122937,0.316095751,22.36823529,1.629430574,10.5764125,0.1533,4.8091625,1.6807875,0.8694125,0.776025,0.411475,0.0565125,4.5786125,4.6275625,2.9514375,0.3347375,13.223725,0.8910375,0.4956375,1.5687875,1.637625,1.62175,2.7966375,0.3364375,0,31.4,37,55,18,181.638,87,86.5,84,90,93,80,88.5,85,2.023297959
"ANN_05","California",-116.18411,33.69278,"NORTH AMERICAN DESERTS","ANN0847","ANN0847",47,1,22,3.512303884,0.54666844,2.5,3.455307339,12.04110263,1.874743659,6.133333333,0.818181818,6.198388494,5997.988,0.1554,133.5384,1.8464,1.695941072,0.8933,0.7563,0.3431,0.0792,114.3,121.158,78.74,0.3709,357.2788,0.8654,0.3512,1.5387,1.6605,1.6667,41.199,6.647,68.834,0.7107,2.436401582,4.546926788,1.869013027,25,3,2.545066905,6.422833679,2.455394853,0.979698738,110.4,20,0.234683118,0.455848462,0.30946842,23.94406387,1.697959575,10.63475,0.164775,4.874375,1.708125,0.862325,0.763825,0.411575,0.0556375,4.6884125,4.7651625,2.870725,0.2986875,13.317075,0.8878875,0.4978875,1.6603,1.7028125,1.6574375,2.7556125,0.351475,1,34.3,37,49,18,183.98,16,35,25,7,42,28,33.5,17.5,3.526946939
"ANN_05","California",-116.18411,33.69278,"NORTH AMERICAN DESERTS","ANN0848","ANN0848",53,1,24,4.546557957,0.615972102,5.5,2.595694089,11.80363162,1.600084513,7.168181818,0.916666667,8.125305021,9793.4643,0.1921,176.6627,2.1401,1.859685671,0.8893,0.7787,0.3815,0.0977,153.416,157.48,94.996,0.4747,487.6324,0.8877,0.4097,1.6578,1.9484,1.9435,44.393,5.464,78.74,0.7452,2.5537836,3.861378246,1.523847633,22,4,2.415195085,7.408520237,2.274417875,0.945558979,157.7,21,0.193959055,0.488576534,0.31746441,21.77777252,1.846210472,7.5017125,0.193725,4.38895,1.9613625,0.8759625,0.775025,0.3972875,0.0616875,4.1936375,4.2386125,2.377275,0.2956625,11.5470375,0.8819625,0.456875,1.7895,1.9020625,1.8706875,2.218525,0.3361875,1,39.5,36,45,22,166.762,45.5,34.5,64,27,39,30,51.5,28.5,3.075281633
"ANN_05","California",-116.18411,33.69278,"NORTH AMERICAN DESERTS","ANN0849","ANN0849",44,0,21,3.681816702,0.594563464,7.5,3.514925476,12.88492711,2.083330395,6.268421053,0.904761905,7.093203755,11662.2993,0.1203,185.4205,1.756,1.607933851,0.8845,0.6847,0.4285,0.0902,129.286,150.876,115.316,0.3256,546.7471,0.8923,0.4066,1.3084,1.2537,1.2531,44.161,6.226,103.124,0.6229,2.714545419,4.779603868,1.769808461,20.66666667,1,2.428011191,6.196830674,2.176201148,0.898756951,119.1,17,0.241444846,0.448618617,0.309936537,17.51095991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29.8,43,51,19,178.372,51.5,48.5,62,41,66,31,64,36,2.749861224
"ANN_05","California",-116.18411,33.69278,"NORTH AMERICAN DESERTS","ANN0850","ANN0850",47,0,22,4.21931236,0.542713979,5.5,3.415249195,14.38745986,1.852207351,6.535294118,0.772727273,6.690591598,11994.6857,0.175,194.1306,1.6854,1.629624095,0.8964,0.7169,0.4531,0.1259,151.384,168.91,119.126,0.5761,555.243,0.9243,0.34,1.4179,1.7376,1.75,44.103,6.592,87.122,0.7639,2.667282965,5.116765111,1.93233358,21,3,2.817933688,7.768157829,3.332472352,1.182353354,111.1,14,0.229304137,0.458574463,0.3121214,22.06122071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,34.6,46,66,17,177.463,64,77.5,73,55,78,77,75.5,66,4.21077551
