"","latitude","longitude","sitename","individual_id","population_id","genotype_id","Predicted","Actual","Outcome"
"1",33.69278,-116.18411,"California","ANN0843","ANN_05","ANN0843","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"2",33.69278,-116.18411,"California","ANN0844","ANN_05","ANN0844","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"3",33.69278,-116.18411,"California","ANN0845","ANN_05","ANN0845","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"4",33.69278,-116.18411,"California","ANN0846","ANN_05","ANN0846","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"5",33.69278,-116.18411,"California","ANN0849","ANN_05","ANN0849","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"6",33.69278,-116.18411,"California","ANN0850","ANN_05","ANN0850","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"7",37.43321,-118.40646,"California","ANN0886","ANN_09","ANN0886","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"8",35.19566,-114.06666,"Arizona","ANN0902","ANN_11","ANN0902","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"9",35.19566,-114.06666,"Arizona","ANN0903","ANN_11","ANN0903","GREAT PLAINS","NORTH AMERICAN DESERTS","Incorrectly_Predicted"
"10",36.1086,-111.24184,"Arizona","ANN0931","ANN_14","ANN0931","GREAT PLAINS","NORTH AMERICAN DESERTS","Incorrectly_Predicted"
"11",36.1086,-111.24184,"Arizona","ANN0932","ANN_14","ANN0932","GREAT PLAINS","NORTH AMERICAN DESERTS","Incorrectly_Predicted"
"12",36.1086,-111.24184,"Arizona","ANN0933","ANN_14","ANN0933","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"13",36.1086,-111.24184,"Arizona","ANN0937","ANN_14","ANN0937","GREAT PLAINS","NORTH AMERICAN DESERTS","Incorrectly_Predicted"
"14",35.03852,-110.7351,"Arizona","ANN0942","ANN_15","ANN0942","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"15",35.03852,-110.7351,"Arizona","ANN0944","ANN_15","ANN0944","GREAT PLAINS","NORTH AMERICAN DESERTS","Incorrectly_Predicted"
"16",35.03852,-110.7351,"Arizona","ANN0945","ANN_15","ANN0945","GREAT PLAINS","NORTH AMERICAN DESERTS","Incorrectly_Predicted"
"17",35.03852,-110.7351,"Arizona","ANN0946","ANN_15","ANN0946","GREAT PLAINS","NORTH AMERICAN DESERTS","Incorrectly_Predicted"
"18",35.40041,-108.23557,"New Mexico","ANN0951","ANN_16","ANN0951","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"19",35.40041,-108.23557,"New Mexico","ANN0952","ANN_16","ANN0952","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"20",35.40041,-108.23557,"New Mexico","ANN0955","ANN_16","ANN0955","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"21",35.40041,-108.23557,"New Mexico","ANN0958","ANN_16","ANN0958","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"22",35.40041,-108.23557,"New Mexico","ANN0959","ANN_16","ANN0959","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"23",35.40041,-108.23557,"New Mexico","ANN0960","ANN_16","ANN0960","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
"24",36.07308,-104.28873,"New Mexico","ANN0973","ANN_18","ANN0973","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"25",36.7268,-104.01913,"New Mexico","ANN0983","ANN_19","ANN0983","GREAT PLAINS","GREAT PLAINS","Correctly_Predicted"
"26",36.7268,-104.01913,"New Mexico","ANN0986","ANN_19","ANN0986","NORTH AMERICAN DESERTS","GREAT PLAINS","Incorrectly_Predicted"
"27",38.44366,-107.62928,"Colorado","ANN0992","ANN_20","ANN0992","NORTH AMERICAN DESERTS","NORTH AMERICAN DESERTS","Correctly_Predicted"
