"Ecoregions","Total.RGB","Primary.branches","RGB.proportion.red","Total_Leaf_Number","Phyllaries.length","Leaf.total.N","Specific_Leaf_Area","Leaf.C.N.ratio","Seed.rectangular","Leaf.shape.index.external.I","Seed.maximum.height","Seed.curved.height","Seed.proximal.eccentricity","Ligule.width","Seed.area","Seed.height.mid.width","Seed.perimeter","Flower.FHDD.ratio","Days.to.budding","Disk.diameter","Leaf.shape.index.internal","Phyllaries.diameter","Seed.width.mid.height","Phyllaries.width","Seed.maximum.width","Flower.head.diameter","Seed.ellipsoid","Ligules.number","Stem.colour","RGB.proportion.blue","Stem.diameter.at.flowering","Plant.height.at.flowering","Distance.of.first.branching.from.ground","Days_to_flowering"
"NORTH AMERICAN DESERTS",174.961,19,0.313658472,20,2.585932634,6.161,21.12823103,6.998826283,0.4873375,1.1119,5.349875,5.46675,0.8752875,2.180894805,11.085925,5.303575,14.215375,3.821885523,24,4.50305867,0.866,7.855572213,2.59425,1.05348668,2.6948,17.20184726,0.058875,20.66666667,2,0.222260961,32.3,140.8,6,50
"NORTH AMERICAN DESERTS",181.969,21,0.323082503,21,4.08446957,6.615,23.18884881,6.540537228,0.4866625,1.5145,4.5654,4.7255125,0.8898875,2.562461103,10.2755,4.51115,12.9662375,2.929479624,31,5.29609968,1.6065,9.996696118,2.7847375,1.568473345,2.9263,15.51351743,0.0559625,19.66666667,0,0.195148624,34.4,141.9,0,51
"NORTH AMERICAN DESERTS",183.98,20,0.30946842,18,2.455394853,6.647,23.94406387,6.198388494,0.4978875,1.5387,4.7651625,4.874375,0.8878875,1.869013027,10.63475,4.6884125,13.317075,3.455307339,22,3.512303884,1.6667,6.422833679,2.7556125,0.979698738,2.870725,12.04110263,0.0556375,25,1,0.234683118,34.3,110.4,2.5,47
"NORTH AMERICAN DESERTS",166.762,21,0.31746441,22,2.274417875,5.464,21.77777252,8.125305021,0.456875,1.6578,4.2386125,4.38895,0.8819625,1.523847633,7.5017125,4.1936375,11.5470375,2.595694089,24,4.546557957,1.9435,7.408520237,2.218525,0.945558979,2.377275,11.80363162,0.0616875,22,1,0.193959055,39.5,157.7,5.5,53
"NORTH AMERICAN DESERTS",173.212,18,0.322662402,19,2.473084193,6.113,20.3886306,7.001478805,0.48395,1.6722,4.27435,4.4669875,0.8784875,1.252513609,8.203775,4.2439375,11.9989875,2.821176574,24,3.844038012,2.028,6.027035029,2.35745,0.7965232,2.48575,10.95155642,0.0541625,23.33333333,1,0.208507494,25.7,103.9,6.5,51
"NORTH AMERICAN DESERTS",171.87,22,0.312794554,23,1.756808247,5.267,22.40222735,8.481527145,0.49955,1.5293,4.2981625,4.4767875,0.878925,1.483124953,6.8777,4.236,11.4123125,2.779875857,28,3.689084359,1.0182,5.188269602,1.94205,0.705863709,2.0452375,10.25362181,0.0616375,27.33333333,3,0.218956188,31.3,111.4,7,61
"NORTH AMERICAN DESERTS",166.905,24,0.316287709,23,2.845237816,6.442,32.0733371,6.363988322,0.479775,2.1328,4.5481875,4.6804125,0.871625,1.404105601,8.2625,4.5164375,12.2640875,3.03750968,24,3.573584145,2.381,6.35689414,2.250275,0.830746288,2.36405,10.84732673,0.0587375,18.33333333,0,0.194332105,23.1,119.3,6,50
"NORTH AMERICAN DESERTS",190.562,20,0.317502965,20,2.062473385,5.561,27.19349397,7.888332065,0.471475,1.4893,3.7689875,3.9234375,0.85315,1.545636288,6.053375,3.7359375,10.3196375,2.966542371,26,3.887632107,1.9565,5.011323661,1.97645,0.764367119,2.07435,11.52927585,0.0580375,21.33333333,0,0.221161617,27.9,102.9,2.5,53
"NORTH AMERICAN DESERTS",186.471,15,0.321197398,17,4.044366435,6.106,21.09487865,7.062049634,0.465475,2.0179,4.6606375,4.77095,0.872075,1.25128639,8.624875,4.63155,12.310425,3.365847042,27,3.97976508,2.4444,8.733448727,2.349475,0.828403017,2.4474125,13.39776599,0.0575375,21,2,0.21746545,23.6,123.5,6,47
"NORTH AMERICAN DESERTS",179.172654747178,18,0.315853305691926,17,2.962340717,5.987,18.95403426,6.972937351,0.46045,1.5985,4.50055,4.6568125,0.8899625,1.194057168,8.6976125,4.45295,12.1899,2.525948556,24,4.290739099,2.025,6.925519285,2.4394625,0.931386683,2.5506,10.84070727,0.0551125,26.33333333,1,0.21881691409158,25.3,93.1,7,50
