"population_id","species","longitude","sitename","latitude"
"ANN_01","Helianthus annuus",-121.63765,"California",38.56535
"ANN_02","Helianthus annuus",-120.75822,"California",36.59499
"ANN_03","Helianthus annuus",-120.31654,"California",36.24542
"ANN_04","Helianthus annuus",-119.07235,"California",34.75087
"ANN_05","Helianthus annuus",-116.18411,"California",33.69278
"ANN_06","Helianthus annuus",-117.45148,"California",34.24976
"ANN_07","Helianthus annuus",-119.9363,"California",38.7892
"ANN_08","Helianthus annuus",-119.73895,"California",38.67722
"ANN_09","Helianthus annuus",-118.40646,"California",37.43321
"ANN_10","Helianthus annuus",-118.27904,"California",37.17346
"ANN_11","Helianthus annuus",-114.06666,"Arizona",35.19566
"ANN_12","Helianthus annuus",-112.13355,"Arizona",35.2533
"ANN_13","Helianthus annuus",-112.01697,"Arizona",34.75056
"ANN_14","Helianthus annuus",-111.24184,"Arizona",36.1086
"ANN_15","Helianthus annuus",-110.7351,"Arizona",35.03852
"ANN_16","Helianthus annuus",-108.23557,"New Mexico",35.40041
"ANN_17","Helianthus annuus",-107.68594,"New Mexico",35.24503
"ANN_18","Helianthus annuus",-104.28873,"New Mexico",36.07308
"ANN_19","Helianthus annuus",-104.01913,"New Mexico",36.7268
"ANN_20","Helianthus annuus",-107.62928,"Colorado",38.44366
"ANN_21","Helianthus annuus",-108.3738,"Colorado",38.91004
"ANN_22","Helianthus annuus",-108.46384,"Colorado",39.00672
"ANN_23","Helianthus annuus",-116.23876,"Nevada",40.66257
"ANN_24","Helianthus annuus",-119.99511,"Nevada",39.48892
"ANN_25","Helianthus annuus",-114.09841,"Nevada",36.79654
"ANN_26","Helianthus annuus",-113.51348,"Utah",37.13733
"ANN_27","Helianthus annuus",-112.56561,"Utah",37.13137
"ANN_28","Helianthus annuus",-112.64767,"Utah",38.21652
"ANN_29","Helianthus annuus",-112.35661,"Utah",39.55006
"ANN_30","Helianthus annuus",-112.20662,"Utah",39.7148
"ANN_31","Helianthus annuus",-111.65071,"Utah",40.1781
"ANN_32","Helianthus annuus",-112.0556,"Utah",41.48524
"ANN_33","Helianthus annuus",-112.15004,"Utah",40.77115
"ANN_34","Helianthus annuus",-112.26423,"Utah",40.69149
"ANN_35","Helianthus annuus",-109.51947,"Utah",40.51274
"ANN_36","Helianthus annuus",-107.45885,"Wyoming",41.77426
"ANN_37","Helianthus annuus",-105.09619,"Colorado",40.48679
"ANN_38","Helianthus annuus",-98.63231,"Kansas",38.44118
"ANN_39","Helianthus annuus",-97.9179,"Kansas",37.45911
"ANN_40","Helianthus annuus",-98.66459,"Kansas",37.23327
"ANN_41","Helianthus annuus",-98.22242,"Oklahoma",36.80874
"ANN_42","Helianthus annuus",-97.36547,"Texas",32.92224
"ANN_43","Helianthus annuus",-97.65574,"Texas",29.73315
"ANN_44","Helianthus annuus",-99.01808,"Texas",29.05186
"ANN_45","Helianthus annuus",-100.1189,"Texas",28.63085
"ANN_46","Helianthus annuus",-116.86432,"California",33.92321
"ANN_47","Helianthus annuus",-111.53769,"Arizona",32.73158
"ANN_48","Helianthus annuus",-111.01274,"Arizona",31.5081
"ANN_49","Helianthus annuus",-110.10544,"Arizona",31.43996
"ANN_50","Helianthus annuus",-108.38541,"New Mexico",32.17943
"ANN_51","Helianthus annuus",-106.67373,"New Mexico",32.12876
"ANN_52","Helianthus annuus",-104.02012,"Texas",31.13312
"ANN_53","Helianthus annuus",-103.13683,"Texas",31.03955
"ANN_54","Helianthus annuus",-97.39837,"Texas",29.11355
"ANN_55","Helianthus annuus",-96.58348,"Texas",28.66061
"ANN_56","Helianthus annuus",-97.06011,"Texas",28.08852
"ANN_57","Helianthus annuus",-97.24526,"Texas",27.63854
"ANN_58","Helianthus annuus",-97.67443,"Texas",28.24166
"ANN_59","Helianthus annuus",-97.77181,"Texas",26.50251
"ANN_60","Helianthus annuus",-97.66729,"Texas",27.28522
"ANN_61","Helianthus annuus",-97.66801,"Texas",27.77652
"ANN_62","Helianthus annuus",-96.05867,"Iowa",42.24842
"ANN_63","Helianthus annuus",-95.82286,"Iowa",41.04647
"ANN_64","Helianthus annuus",-99.06605,"Kansas",39.68894
"ANN_65","Helianthus annuus",-99.9072,"Kansas",39.82806
"ANN_66","Helianthus annuus",-100.40875,"Manitoba",49.29649
"ANN_67","Helianthus annuus",-94.86874,"Missouri",40.07698
"ANN_68","Helianthus annuus",-101.04321,"North Dakota",47.24255
"ANN_69","Helianthus annuus",-100.0715,"South Dakota",44.50105
"ANN_70","Helianthus annuus",-96.78587,"South Dakota",42.8228
"ANN_71","Helianthus annuus",-102.9884,"Saskatchewan",49.23184
