individual_id,DTF,Darker axillae,Days to budding,Disk diameter,Disk to phyllaries diameter ratio,Distance of first branching from ground,Flower FHDD ratio,Flower head diameter,Flowerhead to phyllaries diameter ratio,Internode length,LIR,Leaf C N ratio,Leaf area,Leaf circular,Leaf curved height,Leaf curved shape index,Leaf curvedHeight maxWidth,Leaf distal eccentricity,Leaf eccentricity,Leaf eccentricity area index,Leaf ellipsoid,Leaf height mid-width,Leaf maximum height,Leaf maximum width,Leaf obovoid,Leaf perimeter,Leaf proximal eccentricity,Leaf rectangular,Leaf shape index external I,Leaf shape index external II,Leaf shape index internal,Leaf total C,Leaf total N,Leaf width mid-height,Leaf width widest pos,Ligule LW ratio,Ligule length,Ligule width,Ligules number,Peduncle length of first flower,Petiole main veins colour,Phyllaries LW ratio,Phyllaries diameter,Phyllaries length,Phyllaries width,Plant height at flowering,Primary branches,RGB proportion blue,RGB proportion green,RGB proportion red,SLA,Seed HW ratio,Seed area,Seed circular,Seed curved height,Seed curved shape index,Seed distal eccentricity,Seed eccentricity,Seed eccentricity area index,Seed ellipsoid,Seed height mid width,Seed maximum height,Seed maximum width,Seed ovoid,Seed perimeter,Seed proximal eccentricity,Seed rectangular,Seed shape index external I,Seed shape index external II,Seed shape index internal,Seed width mid height,Seed width widest pos,Stem colour,Stem diameter at flowering,Stem diameter final after 5th node,Stem diameter final before 1st node,TLN,Total RGB,Trichomes density center average,Trichomes density edge average,Trichomes density leaf center flat area,Trichomes density leaf center secondary veins,Trichomes density leaf edge flat area,Trichomes density leaf edge secondary veins,Trichomes density nonvein average,Trichomes density vein average,Trichomes length
ANN0801,49.0,1.0,34.0,4.441211139,0.454886534,9.5,3.217821141,14.2801266,1.463783265,7.295,0.588235294,7.149304489,11005.6554,0.1623,199.7021,2.1022,1.871973191,0.8743,0.7512,0.3459,0.0921,152.654,162.56,106.68,0.346,583.7395,0.8989,0.3647,1.5238,1.6243,1.6216,43.488,6.083,93.98,0.5922,2.906173202,4.965216054,1.730799498,20.33333333,,2.0,3.606191877,9.771137775,4.28240207,1.192684096,145.9,18.0,0.229660122,0.461505019,0.30883486,29.16950808,2.062104112,12.9018875,0.2230125,5.8924625,2.1250375,0.8560375,0.76115,0.4076375,0.0582125,5.7507125,5.797025,2.8575,0.2377625,15.3118375,0.8809875,0.496325,2.0348125,2.094175,1.9956,2.7543375,0.387275,1.0,44.4,46.0,53.0,20.0,181.712,76.5,82.0,88.0,65.0,95.0,69.0,91.5,67.0,2.999510204
ANN0802,35.0,0.0,11.0,3.844667737,0.514632229,10.5,2.942474255,11.28278829,1.520044629,5.72,1.363636364,8.294829659,8267.5964,0.1361,147.1673,1.5486,1.485637997,0.8658,0.7605,0.3724,0.1,127.0,133.858,99.06,0.4423,446.8268,0.8696,0.3706,1.3513,1.5625,1.5625,43.252,5.214,81.28,0.6717,1.97501782,3.890856552,2.003318181,18.0,,3.0,2.971539432,7.426780093,3.47935573,1.175850308,85.8,13.0,0.212351078,0.468994021,0.318654902,20.14030792,1.798810297,14.2628,0.1826125,5.813575,1.834325,0.886475,0.791725,0.3927375,0.054125,5.586675,5.632975,3.2319,0.289475,15.461375,0.886,0.491875,1.746025,1.7941,1.7991625,3.1207625,0.351825,1.0,20.4,28.0,33.0,15.0,179.288,48.5,42.0,62.0,35.0,49.0,35.0,55.5,35.0,3.721297959
ANN0803,49.0,0.0,26.0,4.78230588,0.645301602,10.0,2.865717717,13.70181263,1.85428929,4.965217391,0.884615385,6.67699898,10025.9799,0.1405,152.2376,1.6467,1.476257709,0.8983,0.7558,0.37,0.0944,135.382,142.748,103.124,0.4449,471.8439,0.8706,0.4374,1.3842,1.6006,1.4422,42.154,6.313,84.582,0.6763,2.611539434,4.605045605,1.779386155,21.0,,2.0,2.516424106,7.420484539,2.977656186,1.196473329,114.2,21.0,0.248705633,0.445308981,0.305985386,21.33187213,,,,,,,,,,,,,,,,,,,,,,1.0,32.1,28.0,36.0,23.0,170.933,83.5,82.75,109.5,57.5,104.5,61.0,107.0,59.25,2.735387755
ANN0804,,0.0,24.0,4.883209973,0.621643725,10.5,2.45833132,12.01301416,1.525774528,6.170588235,0.708333333,6.570983736,9509.5294,0.1621,162.2875,1.8466,1.655251724,0.8858,0.7705,0.3574,0.0998,143.51,148.59,98.044,0.4896,444.1336,0.8911,0.3858,1.5155,1.6766,1.6791,42.697,6.498,85.598,0.6923,2.267163453,3.689747062,1.665725644,22.66666667,,3.0,2.495971594,7.872744973,2.799930844,1.126385451,104.9,16.0,0.219408822,0.459520318,0.32107086,21.43717178,2.125704693,13.7075,0.232,6.246666667,2.233166667,0.8573,0.763033333,0.4061,0.062466667,6.0819,6.1489,2.938633333,0.281233333,16.0058,0.887733333,0.476933333,2.1072,2.197466667,2.129466667,2.783433333,0.370766667,0.0,29.8,42.0,53.0,17.0,192.294,83.0,91.5,82.0,84.0,124.0,59.0,103.0,71.5,3.198171429
ANN0805,58.0,0.0,34.0,5.001862188,0.490296078,2.5,2.894608315,14.42295427,1.409245321,7.639130435,0.676470588,11.24133834,10100.3024,0.1595,171.9556,1.9398,1.604243012,0.8692,0.6879,0.4148,0.1041,137.16,159.766,107.188,0.4115,496.1165,0.8623,0.3478,1.4905,1.5976,1.6,43.279,3.85,85.852,0.6979,2.31921571,4.804856928,2.106973506,23.33333333,,1.0,2.652729108,10.26952592,4.173789238,1.578066102,175.7,24.0,0.206125193,0.466889955,0.326984852,26.22093043,1.862671855,16.6003875,0.1896375,6.4388375,1.8743625,0.858125,0.75545,0.3915,0.04585,6.236225,6.2918,3.456775,0.1991,17.2152,0.872525,0.46855,1.822425,1.84395,1.75595,3.386675,0.4196625,1.0,34.2,30.0,36.0,23.0,197.055,77.0,58.5,74.0,80.0,55.0,62.0,64.5,71.0,3.457469388
ANN0806,51.0,0.0,33.0,4.626216516,0.534738807,13.0,3.019246633,13.95272889,1.612343276,6.116666667,0.545454545,7.167744983,9311.2072,0.1191,142.6072,1.5515,1.396631018,0.8815,0.7072,0.4291,0.089,123.444,133.858,102.108,0.4634,445.9446,0.8341,0.4497,1.3109,1.4294,1.3191,40.909,5.707,86.36,0.6949,2.245361152,4.661517335,2.078706063,22.66666667,,0.0,2.589099284,8.676144423,3.447745201,1.334046792,110.1,17.0,0.236009914,0.462784776,0.30120531,33.48150737,2.062986585,15.342275,0.2232625,6.449025,2.134575,0.8642625,0.76355,0.404475,0.0550375,6.2097625,6.3182625,3.1260625,0.2636125,16.7376125,0.8844625,0.482525,2.0244625,2.0592625,1.99775,3.02155,0.387775,0.0,29.4,25.0,37.0,18.0,147.265,67.0,45.5,87.0,47.0,46.0,45.0,66.5,46.0,2.056310204
ANN0807,51.0,0.0,26.0,,,13.5,,,,5.828,0.961538462,6.187895289,9319.4007,0.1524,155.7753,1.3769,1.400202244,0.8728,0.7158,0.446,0.1295,128.524,141.478,111.252,0.5896,507.661,0.8964,0.3783,1.2717,1.5763,1.5547,41.966,6.782,81.534,0.717,,,,26.0,,1.0,,,,,145.7,21.0,0.226873034,0.458228189,0.314898777,31.85030998,,,,,,,,,,,,,,,,,,,,,,1.0,33.6,28.0,30.0,25.0,192.989,64.5,52.0,72.0,57.0,74.0,30.0,73.0,43.5,4.646693878
ANN0808,55.0,1.0,26.0,4.733401969,0.464507458,9.0,3.759579683,17.78882244,1.716584916,8.76,0.769230769,7.595685515,12497.5234,0.2061,219.0817,2.4434,1.942626977,0.8845,0.7476,0.3915,0.1249,168.402,182.372,112.776,0.4894,723.2477,0.886,0.3807,1.6171,1.8676,1.9143,44.089,5.805,90.17,0.7288,5.582792175,6.589108455,1.224526003,22.66666667,,4.0,3.715959554,10.69324516,4.323981647,1.16401781,175.2,20.0,0.219175367,0.47003689,0.310787742,17.24034129,2.112055026,14.1516875,0.23095,6.3676875,2.2204375,0.8713,0.7646,0.3981,0.0626125,6.15815,6.2388625,3.014925,0.2724,16.2292125,0.8756625,0.457625,2.0774625,2.1626375,2.100525,2.8601625,0.3609875,1.0,40.7,43.0,49.0,20.0,156.409,60.0,60.0,45.0,75.0,62.0,58.0,53.5,66.5,3.178481633
ANN0809,59.0,0.0,34.0,3.897415961,0.394587648,8.0,3.37425162,13.14614993,1.333415645,5.246428571,0.823529412,6.615126992,14749.4544,0.1511,218.8814,1.9719,1.592860989,0.8717,0.7692,0.3882,0.1277,171.45,175.26,137.414,0.568,721.103,0.8878,0.3645,1.2754,1.5957,1.5774,41.374,6.254,107.442,0.7831,3.25944438,4.719423007,1.458824532,22.75,,0.0,3.722973998,9.80923955,4.381336717,1.177071314,146.9,27.0,0.219197619,0.470423089,0.310379292,28.41351262,2.083278714,9.955425,0.225925,5.4431125,2.2097,0.8131,0.7254875,0.414175,0.0671875,5.232125,5.2996,2.6127625,0.310125,13.801425,0.882675,0.4305,2.030275,2.1583125,1.9851375,2.4275625,0.343975,1.0,36.0,43.0,52.0,28.0,178.095,26.0,24.5,11.0,41.0,17.0,32.0,14.0,36.5,3.408979592
ANN0810,48.0,1.0,21.0,4.010518111,0.472605516,8.0,3.096936675,12.42021811,1.463593727,7.9,0.904761905,7.310654251,9279.1427,0.1978,183.1747,1.9933,1.917979352,0.8884,0.6893,0.4635,0.1111,129.032,149.86,95.504,0.4889,566.8461,0.8884,0.4193,1.5691,1.6656,1.6777,42.995,5.881,77.47,0.7458,2.677973183,4.266957575,1.625305337,22.5,,3.0,3.124779681,8.4883767,3.334821426,1.073390355,150.1,18.0,0.216306156,0.466944161,0.316749683,19.88671817,2.199545998,17.5400375,0.246525,7.158175,2.3236625,0.8690875,0.7769875,0.4009,0.065925,7.0061625,7.0577625,3.2543875,0.29195,18.2548375,0.888125,0.4767,2.1879375,2.31075,2.263525,3.0572625,0.3437375,1.0,41.8,54.0,69.0,19.0,186.911,56.0,62.5,27.0,85.0,64.0,61.0,45.5,73.0,2.999020408
